fid,id_renabap,nombre_barrio,provincia,departamento,localidad,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,titulo_propiedad,clasificacion_barrio,superficie_m2,WKT
3684,4047,El Obrador,Tucumán,Lules,San Isidro De Lules,100,110,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Villa,41691,"MULTIPOLYGON (((-65.3336477179039 -26.9162670995633,-65.3345858672489 -26.9161102157205,-65.3344608672489 -26.9155329336244,-65.3352609999999 -26.9152368838427,-65.3350030829694 -26.9143270331877,-65.3341120829694 -26.9144750331877,-65.3337579999999 -26.9149209999999,-65.332572 -26.9153219999999,-65.3317619166659 -26.9154423651138,-65.3320994952747 -26.91656353902,-65.3329519778152 -26.9164024418156,-65.3327990406302 -26.9160064254028,-65.3328654012077 -26.9159851771449,-65.3335064855895 -26.9158541659388,-65.3336477179039 -26.9162670995633)))"
3685,4048,Los Eucaliptus,Tucumán,Monteros,Monteros,20,22,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,14207,"MULTIPOLYGON (((-65.4873134541484 -27.1825351353711,-65.4883925895196 -27.1823804847161,-65.4880962052401 -27.1811866637554,-65.4866656768559 -27.182317021834,-65.4867678689956 -27.1826744887563,-65.4873134541484 -27.1825351353711)))"
3686,4049,Ampliación Barrio Omodeo,Tucumán,Monteros,Monteros,65,72,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,40780,"MULTIPOLYGON (((-65.5122298331473 -27.161557478729,-65.5119072953339 -27.1613351280225,-65.5110667187772 -27.1614879921397,-65.5104480078602 -27.1596225703056,-65.5101875781659 -27.1595368593886,-65.5104061352792 -27.158995549278,-65.5107470708681 -27.1590954734486,-65.5109334266504 -27.1593574126111,-65.5118385501214 -27.1591030629727,-65.512039685103 -27.1591480898817,-65.5122787919263 -27.1599189338247,-65.5119458777632 -27.1600106528585,-65.5120068907328 -27.1601375896147,-65.5122018370045 -27.160259069189,-65.5124801756523 -27.161133570039,-65.512648537256 -27.1610742206395,-65.5127587188086 -27.1614027377632,-65.5122298331473 -27.161557478729)))"
3687,4050,La Nina,Tucumán,Tafí Viejo,Tafí Viejo,50,55,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,66269,"MULTIPOLYGON (((-65.2781277664618 -26.7278976742803,-65.275606015048 -26.7283682470987,-65.274082186829 -26.7286545158633,-65.2736917202105 -26.7272271990041,-65.2749753223506 -26.7270560189675,-65.2778029711423 -26.7264353687687,-65.2781277664618 -26.7278976742803)))"
3688,4051,Risso,Tucumán,Monteros,Acheral,29,32,Década 1960,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,16793,"MULTIPOLYGON (((-65.4644272551942 -27.1222068487487,-65.4674579101478 -27.1206031318187,-65.4673351779094 -27.1203823011829,-65.4669669711596 -27.1205553983778,-65.4668739189104 -27.1205333860178,-65.4666177750844 -27.1206464495034,-65.4666778087936 -27.1209656287241,-65.4658113222574 -27.1213788607558,-65.4656042059606 -27.1207114860218,-65.4655531773078 -27.1205573995015,-65.4645433713938 -27.1209595462285,-65.4645746278478 -27.1210336669278,-65.4647687368409 -27.1209616264768,-65.4648007548191 -27.1209976467023,-65.4652009795471 -27.1217590742474,-65.4646376632424 -27.122050738018,-65.4644310472265 -27.1216485121663,-65.4642749595826 -27.1214684110387,-65.4640763480614 -27.1212878096301,-65.46382820873 -27.1214258871613,-65.4636641165915 -27.121577972558,-65.4638207045163 -27.1216825312682,-65.4644272551942 -27.1222068487487)))"
3689,4052,Barrio Norte,Tucumán,Monteros,Monteros,25,28,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,36147,"MULTIPOLYGON (((-65.4887161039301 -27.1594867921397,-65.4888722532751 -27.1595105973799,-65.4889635065502 -27.159878,-65.4889559545851 -27.1602251493449,-65.4891411039301 -27.161031551965,-65.4893123876545 -27.1613981382861,-65.4895156966952 -27.1621675148414,-65.4897405065502 -27.1626652532751,-65.4893372986899 -27.1628408052401,-65.4887309545851 -27.16179770131,-65.4883420454148 -27.161875850655,-65.4881656392124 -27.160653885451,-65.4879846140443 -27.160030481393,-65.4877154395275 -27.1590794133011,-65.4884861942807 -27.1587907828893,-65.4887161039301 -27.1594867921397)))"
3690,4053,Entrada de Los Sánchez,Tucumán,Tafí Viejo,Los Nogales,20,22,Década 2010,2011,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,9295,"MULTIPOLYGON (((-65.2196109808593 -26.7284930496093,-65.2195723664062 -26.7282705839843,-65.2154719772915 -26.7290256391443,-65.2155241679687 -26.7291988816406,-65.2196109808593 -26.7284930496093)))"
3691,4054,La Rinconada,Tucumán,Lules,El Manantial,100,110,Década 1970,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,38890,"MULTIPOLYGON (((-65.314050373145 -26.833878938739,-65.314068 -26.835096,-65.313695 -26.835147,-65.313273 -26.835221,-65.313257 -26.833895,-65.314050373145 -26.833878938739)),((-65.3140055480663 -26.832217290096,-65.3139979799745 -26.8322187261804,-65.313893 -26.832213,-65.313346 -26.832305,-65.312872 -26.832392,-65.312472 -26.832465,-65.312492 -26.832878,-65.311883 -26.832938,-65.311896 -26.833406,-65.311891 -26.833594,-65.311901 -26.833865,-65.31191 -26.834173,-65.31193 -26.835466,-65.31175 -26.835496,-65.311738 -26.834869,-65.311722 -26.834501,-65.311664 -26.834467,-65.311517 -26.834467,-65.311454 -26.834484,-65.311114 -26.834898,-65.310959 -26.83504,-65.31042 -26.835612,-65.310359 -26.83569,-65.310214 -26.835719,-65.309741 -26.836024,-65.309646 -26.835895,-65.310105 -26.835588,-65.310738 -26.834964,-65.31097 -26.834735,-65.310935 -26.834451,-65.311285 -26.834043,-65.311498 -26.833651,-65.311595 -26.833415,-65.311672 -26.833052,-65.311736 -26.832973,-65.311716 -26.83254,-65.312542 -26.832398,-65.312503 -26.832204,-65.313392 -26.831991,-65.313737 -26.831864,-65.3141649891688 -26.8316410892434,-65.314659 -26.831312,-65.314737 -26.831438,-65.314687 -26.831483,-65.314618 -26.831593,-65.314605 -26.831706,-65.314598 -26.831746,-65.314252 -26.831953,-65.314271 -26.832174,-65.3140055480663 -26.832217290096)))"
3692,4055,Sin Nombre,Tucumán,Lules,El Manantial,40,44,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Villa,7686,"MULTIPOLYGON (((-65.3125377956332 -26.8294639834061,-65.3122354144105 -26.8294991270742,-65.3123365414846 -26.8305601270742,-65.3123010331877 -26.8312267458515,-65.3122006353712 -26.8319553812227,-65.3124639227074 -26.8319655855895,-65.3126306353711 -26.8306641772925,-65.3125377956332 -26.8294639834061)))"
3693,4056,Pasaje Jujuy,Tucumán,Yerba Buena,Yerba Buena - Marcos Paz,24,26,Década 1950,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,9425,"MULTIPOLYGON (((-65.3056491867187 -26.8256787510416,-65.3028589377604 -26.8261308132812,-65.3028942199219 -26.8264447178385,-65.3056587178385 -26.8259735311198,-65.3056491867187 -26.8256787510416)))"
3694,4057,Anexo Barrio La Esperanza,Tucumán,Lules,El Manantial,60,66,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión regular a la red de agua pero sin factura,Gas en garrafa,Energía eléctrica,NO,Asentamiento,21170,"MULTIPOLYGON (((-65.3005018941828 -26.8316330853185,-65.2991529999999 -26.8318449999999,-65.2994093617728 -26.8332618088642,-65.3007008941828 -26.8330556177285,-65.3005018941828 -26.8316330853185)))"
3695,4058,Holguín,Tucumán,Lules,El Manantial,29,32,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,9722,"MULTIPOLYGON (((-65.2755662423581 -26.8450878635371,-65.2762373788209 -26.8441601812226,-65.2763168635371 -26.8439395600436,-65.2763438329694 -26.8436587270742,-65.2762422117904 -26.8433545152838,-65.2759262729258 -26.8434007576419,-65.276038 -26.843869,-65.2757106069869 -26.844242242358,-65.2748097882095 -26.8444603176855,-65.2752932281659 -26.8448543788209,-65.2752972729257 -26.844939242358,-65.2755662423581 -26.8450878635371)))"
3696,4059,El Portal II,Tucumán,Lules,El Manantial,91,100,Década 2010,2011,Conexión a la red con medidor comunitario,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,50815,"MULTIPOLYGON (((-65.2914484877275 -26.8408087899975,-65.2917763109607 -26.8426655826774,-65.289457 -26.843057,-65.28936 -26.842557,-65.28926 -26.842573,-65.2890044475778 -26.8412084887241,-65.2914484877275 -26.8408087899975)))"
3697,4060,Ampliación Aconquija,Tucumán,Yerba Buena,Yerba Buena - Marcos Paz,50,55,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión regular a la red de agua pero sin factura,Gas en garrafa,Leña o carbón,NO,Asentamiento,20971,"MULTIPOLYGON (((-65.3158612229257 -26.8008238152838,-65.315143 -26.79659,-65.3148909999999 -26.796642,-65.314724 -26.797209,-65.314882 -26.797853,-65.3149768768558 -26.7984670424672,-65.3152420997816 -26.799579796179,-65.3139639999999 -26.7997999999999,-65.3138653460698 -26.7998634076419,-65.3136034692139 -26.7997267537117,-65.3134394883187 -26.7999126539301,-65.3137044692139 -26.8000333460698,-65.313977 -26.7998239999999,-65.3152889575327 -26.7996445116812,-65.3155577537117 -26.800817592358,-65.3158612229257 -26.8008238152838)))"
3698,4061,Villa Cabildo,Tucumán,Capital,San Miguel De Tucumán,207,228,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Villa,63282,"MULTIPOLYGON (((-65.270079 -26.83195,-65.270251 -26.831802,-65.270927 -26.832272,-65.270692 -26.832565,-65.270742 -26.832622,-65.271371 -26.83248,-65.271402 -26.832823,-65.271423 -26.832991,-65.270821 -26.833105,-65.270873 -26.833721,-65.270745 -26.833927,-65.270534 -26.834829,-65.2696112504452 -26.8346996042635,-65.2697347378285 -26.834155671742,-65.2696912232268 -26.8338557738113,-65.2698299995241 -26.8338263720533,-65.2696618214689 -26.833283027567,-65.2695700879841 -26.8332336326137,-65.2694889391323 -26.8332500975982,-65.2692913593191 -26.8325832657286,-65.2693783885225 -26.8325597443222,-65.26908 -26.831567,-65.269015 -26.83133,-65.268841 -26.830691,-65.26875 -26.830727,-65.268707 -26.830562,-65.268063 -26.830686,-65.267928293822 -26.8301852583528,-65.2694865869916 -26.8299747417661,-65.269555 -26.830421,-65.269823 -26.831199,-65.270079 -26.83195)))"
3699,4062,Virgen del Valle,Tucumán,Lules,El Manantial,79,87,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,36663,"MULTIPOLYGON (((-65.298468 -26.847171,-65.295544 -26.847684,-65.295748 -26.848741,-65.298849 -26.848162,-65.298629 -26.847147,-65.298468 -26.847171)))"
3700,4063,El Milagro,Tucumán,Lules,El Manantial,100,110,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Leña o carbón,Leña o carbón,NO,Villa,22669,"MULTIPOLYGON (((-65.2921909999999 -26.838648,-65.289321700651 -26.8391363947916,-65.2894289595765 -26.8397925733516,-65.2900244442521 -26.8397210725716,-65.2923144078124 -26.8393701019531,-65.2921909999999 -26.838648)))"
3701,4064,San José,Tucumán,Yerba Buena,Barrio San José III,120,132,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,32810,"MULTIPOLYGON (((-65.2644442568386 -26.7986742021294,-65.263984238956 -26.7967187029297,-65.2633329415251 -26.794107511237,-65.2632977293746 -26.7938783547428,-65.262601 -26.7911510547091,-65.262078 -26.7912505410318,-65.2625485410318 -26.7932382568386,-65.2626299999999 -26.7935239999999,-65.2628577705159 -26.7942837158068,-65.2631259999999 -26.7942329726454,-65.2632995410318 -26.7953582568386,-65.2633587705159 -26.7954619999999,-65.2634037705159 -26.7955192021294,-65.2634195136773 -26.7956227705159,-65.2632035410318 -26.7956955136772,-65.2633882841932 -26.7963532021294,-65.2636885410318 -26.7962912021294,-65.2637095410318 -26.7963734863227,-65.2637572841932 -26.7963777158068,-65.2638330547091 -26.7966830273545,-65.263788 -26.7967209999999,-65.2638701697651 -26.7971340908414,-65.2639717705159 -26.7975060273545,-65.2639280273545 -26.7975260273545,-65.2640292841932 -26.7979737431613,-65.2641007705159 -26.7979747431613,-65.2642067705159 -26.7984657705159,-65.2641022841932 -26.7984985136773,-65.2641587978705 -26.7987289726454,-65.2644442568386 -26.7986742021294)))"
3702,4065,Ampliación San Expedito,Tucumán,Yerba Buena,Barrio San José III,45,50,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Inexistente,NO,Asentamiento,9665,"MULTIPOLYGON (((-65.2601338573366 -26.7872650278868,-65.2596326026201 -26.787669482096,-65.2597146384279 -26.7877916742357,-65.2599129295849 -26.7891448172624,-65.2599314029855 -26.789265599162,-65.260132 -26.789239,-65.260116 -26.789119,-65.2604169915292 -26.7890664280531,-65.2603662857158 -26.7887538049167,-65.2602560901831 -26.7880121637142,-65.2601338573366 -26.7872650278868)))"
3703,4066,Cossio,Tucumán,Yerba Buena,Barrio San José III,21,23,Década 2010,2012,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,9930,"MULTIPOLYGON (((-65.2595775401746 -26.7877375401747,-65.2592207177239 -26.7880960945732,-65.2589159074438 -26.7883734992767,-65.2591137876431 -26.7892211714588,-65.2598481510099 -26.7890902503616,-65.2596606093886 -26.7877937700873,-65.2595775401746 -26.7877375401747)))"
3704,4067,San Expedito,Tucumán,Yerba Buena,Barrio San José III,230,253,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo comunitaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,75056,"MULTIPOLYGON (((-65.2604095906388 -26.7890949744973,-65.2605589999999 -26.790004,-65.263135 -26.789498,-65.261701 -26.7863068504366,-65.261629 -26.7863389999999,-65.2609898855396 -26.7867171745932,-65.2608585715513 -26.7868279724758,-65.2602678751091 -26.7871548838428,-65.2601688941949 -26.7873176584373,-65.2604241827517 -26.7890831969551,-65.2604095906388 -26.7890949744973)))"
3705,4068,Colonia 4,Tucumán,Lules,Ingenio San Pablo,216,238,Década 1940,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Villa,52466,"MULTIPOLYGON (((-65.3247636670573 -26.8709910143229,-65.3251581195973 -26.8713178495169,-65.3252091854135 -26.8713056493051,-65.3254067971354 -26.8715238985677,-65.3255828133748 -26.8717565878247,-65.3257274936631 -26.8719415548921,-65.3257932720374 -26.8719338315491,-65.3259630810012 -26.8720996386758,-65.326181 -26.8722579999999,-65.3272024279755 -26.8730101877319,-65.3274341757202 -26.8732948137245,-65.3278078269531 -26.8735488555989,-65.3281653770833 -26.8738357971354,-65.3285664785156 -26.8738268114583,-65.3291040286458 -26.874027710026,-65.3299186240885 -26.8738664355468,-65.3299942843474 -26.8735380908379,-65.325462 -26.8709019999999,-65.3252879999999 -26.8708619999999,-65.3247636670573 -26.8709910143229)))"
3706,4069,Pasaje 20 de Junio,Tucumán,Lules,El Manantial,20,22,Década 2010,2013,Conexión a la red con medidor comunitario,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,4796,"MULTIPOLYGON (((-65.2861834193029 -26.8411885957657,-65.2859020693587 -26.8412414110479,-65.2855604230857 -26.8398031401763,-65.2858600917149 -26.8397503028127,-65.2861834193029 -26.8411885957657)))"
3707,4070,Ouanta,Tucumán,Lules,Ingenio San Pablo,110,121,Década 1910,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Leña o carbón,Leña o carbón,NO,Asentamiento,83348,"MULTIPOLYGON (((-65.3004387030567 -26.8556321353711,-65.2997383803143 -26.8557600099328,-65.2996919650654 -26.8558979257642,-65.2993972057056 -26.8562589954166,-65.2999121965065 -26.8581967903929,-65.2976839999999 -26.858594,-65.2977519999999 -26.858915,-65.2964379257642 -26.8591619257642,-65.2964830611353 -26.8594580742358,-65.2979129999999 -26.859185,-65.298153 -26.859233,-65.298357 -26.859843,-65.3012522969432 -26.8593262838428,-65.301001580786 -26.8580096419214,-65.3011112227074 -26.8579426419214,-65.300888371919 -26.8568989692457,-65.3004387030567 -26.8556321353711)))"
3708,4071,Alberdi,Tucumán,Lules,Ingenio San Pablo,120,132,Década 1900,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,33916,"MULTIPOLYGON (((-65.3224529999999 -26.868756,-65.3222529999999 -26.868838,-65.3218817393354 -26.869278205174,-65.3217804455117 -26.8693552881221,-65.3210820251091 -26.8702608526201,-65.3211416055789 -26.8704941384703,-65.3214444879912 -26.8714372925764,-65.3229259999999 -26.8712149999999,-65.3224529999999 -26.868756)))"
3709,4072,Margen de Canal,Tucumán,Cruz Alta,Alderetes,170,187,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Villa,45609,"MULTIPOLYGON (((-65.1623418746879 -26.830887625728,-65.162940250624 -26.8309236248959,-65.160838125312 -26.8276883751039,-65.1603162506241 -26.827019750208,-65.160028125312 -26.826559,-65.159910750208 -26.8264058746879,-65.1595349999999 -26.826229,-65.159345 -26.8262119999999,-65.158811 -26.826244,-65.1570270391089 -26.8265327904072,-65.153617563413 -26.8271232877865,-65.1540542158076 -26.8274188981763,-65.1544221244799 -26.827215625728,-65.1544998746879 -26.827312500416,-65.1569663444272 -26.8269349361709,-65.1577559999999 -26.826713,-65.158816624896 -26.826575500416,-65.159177624896 -26.8265526257281,-65.1595 -26.826523375104,-65.1596302497919 -26.82668887552,-65.1598047493759 -26.8269635012481,-65.161186 -26.8288459999999,-65.1623418746879 -26.830887625728)))"
3710,4073,Julio Abraham,Tucumán,Cruz Alta,Alderetes,1200,1320,Década 2010,2012,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,435249,"MULTIPOLYGON (((-65.1628051693893 -26.8310956450932,-65.1628778071083 -26.8313041659942,-65.1629301045604 -26.8313438870498,-65.1629820305994 -26.8315719275594,-65.1606923372496 -26.831896292537,-65.1607004576963 -26.8319848173362,-65.1587359188119 -26.8322951459927,-65.1589812603483 -26.833564086023,-65.1557928211714 -26.8341937596097,-65.1526665818981 -26.8348001381494,-65.1521733170355 -26.8329759087217,-65.1517862755736 -26.8315543148691,-65.1515623136862 -26.8306899449687,-65.1535482707977 -26.830327975703,-65.1535222250867 -26.8302279682492,-65.1551778768174 -26.8298978267742,-65.1550993378659 -26.8295887249444,-65.155029372668 -26.8296039660925,-65.1547406469391 -26.8283071814286,-65.1556179999999 -26.828144,-65.1628051693893 -26.8310956450932)))"
3711,4074,Virgen del Rosario,Tucumán,Cruz Alta,Alderetes,400,440,Década 2010,2012,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,179609,"MULTIPOLYGON (((-65.151779 -26.8315519999999,-65.1468179999999 -26.832616,-65.147644 -26.8357099999999,-65.1526239999999 -26.834664,-65.151779 -26.8315519999999)))"
3712,4075,Presidente Perón,Tucumán,Cruz Alta,Banda Del Río Salí,250,275,Década 1940,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,63192,"MULTIPOLYGON (((-65.170822632332 -26.8353179942821,-65.1717138 -26.8350328999999,-65.1713497440327 -26.8341776585733,-65.1696988232277 -26.8316812714761,-65.1685384816292 -26.8319491764329,-65.1686672151799 -26.832248394956,-65.1687976883731 -26.8323980042176,-65.169201277644 -26.8331745847199,-65.1699114086337 -26.8355455905353,-65.170822632332 -26.8353179942821)))"
3713,4076,Teresa de Calcuta,Tucumán,Cruz Alta,Alderetes,900,990,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Leña o carbón,Leña o carbón,NO,Asentamiento,480440,"MULTIPOLYGON (((-65.1337205175781 -26.8097331654947,-65.1268374428791 -26.8109581583038,-65.1268492299693 -26.8110966118773,-65.1199246670046 -26.8122763362063,-65.1198297340804 -26.812213024652,-65.1194233239583 -26.8122776619792,-65.1138628274739 -26.815765172526,-65.1141138345052 -26.8160196760416,-65.1328968415364 -26.8123676690104,-65.1336260070312 -26.8100848345052,-65.1337205175781 -26.8097331654947)))"
3714,4077,Tres de Noviembre,Tucumán,Cruz Alta,Alderetes,73,80,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,50883,"MULTIPOLYGON (((-65.1644186820961 -26.8274155165939,-65.165652039738 -26.826753920524,-65.1649872384279 -26.826003920524,-65.164903999738 -26.8259581211284,-65.1642358443231 -26.8253784039301,-65.164034 -26.8253099999999,-65.163735440393 -26.825269960262,-65.1621235825327 -26.8255749967248,-65.1620350136713 -26.8255637298017,-65.1618024403929 -26.8256479999999,-65.16252 -26.826620079476,-65.162877 -26.8264290794759,-65.1632880860262 -26.8268007648471,-65.1643322798034 -26.827572960262,-65.1644186820961 -26.8274155165939)))"
3715,4078,Sin Nombre,Tucumán,Cruz Alta,Alderetes,36,40,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Villa,11061,"MULTIPOLYGON (((-65.1316986890624 -26.8208197479166,-65.1312025625 -26.8209978489583,-65.130194 -26.821423,-65.129823 -26.821604,-65.1290069999999 -26.8220009999999,-65.128994 -26.822078,-65.130102 -26.8222249999999,-65.1307318625889 -26.8223382365175,-65.1307520264925 -26.8222234573742,-65.130099 -26.8220959999999,-65.1297941933361 -26.8220052688879,-65.1298128851867 -26.8219639244482,-65.1300219999999 -26.82179,-65.130007 -26.8217,-65.1308251260416 -26.8214381260416,-65.131821378125 -26.8212586890625,-65.1316986890624 -26.8208197479166)))"
3716,4079,Evangelina Salazar,Tucumán,Cruz Alta,Alderetes,100,110,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,36170,"MULTIPOLYGON (((-65.1333621714276 -26.8204151861955,-65.1343286680431 -26.8201713063982,-65.1343077076044 -26.8200840547792,-65.1349638073666 -26.8199241331813,-65.1349956369684 -26.8200300265477,-65.1352500733231 -26.8199805310334,-65.1352274349383 -26.8199185828219,-65.1353874458052 -26.8198944954417,-65.1353820480929 -26.8198717686746,-65.135909111023 -26.8197641591339,-65.1359387573512 -26.8198547821823,-65.1361109556469 -26.8198222612377,-65.1361041089047 -26.8197462160501,-65.1370481671088 -26.8195533897604,-65.137055042143 -26.8195756702066,-65.1373807857047 -26.8195144400939,-65.1373662811743 -26.8194341393747,-65.1375742232633 -26.8193937132586,-65.1375807578954 -26.8194069386306,-65.1378148983759 -26.8193719106102,-65.1378105987613 -26.8193498872595,-65.139292789573 -26.8190750925029,-65.1399710014757 -26.8189560074008,-65.1400148435084 -26.8192183360472,-65.1399364009652 -26.8192369217615,-65.1399420675503 -26.8192721970882,-65.1395760836054 -26.8193281341504,-65.1395787669062 -26.8193631641522,-65.1383138422698 -26.8196001858584,-65.1383078891467 -26.8195572579166,-65.1373686441977 -26.8197455921202,-65.1373739349576 -26.8197714097912,-65.137048666812 -26.8198385941402,-65.1370219829854 -26.8197047364587,-65.1354768774 -26.8199959764669,-65.1355952078572 -26.8205096928758,-65.1321236270728 -26.8212828363439,-65.1319715842233 -26.8207810707347,-65.1333621714276 -26.8204151861955)))"
3717,4080,Nahuel Huapi,Tucumán,Cruz Alta,Alderetes,154,169,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,63410,"MULTIPOLYGON (((-65.1540841464323 -26.8109904689751,-65.1567252732953 -26.810397307554,-65.1569842345662 -26.8103242659793,-65.156867 -26.810003,-65.156762 -26.810024,-65.156693 -26.809794,-65.156344 -26.809873,-65.156247 -26.809517,-65.156663 -26.809423,-65.156599 -26.809093,-65.156816 -26.809045,-65.156854 -26.809158,-65.157293 -26.808966,-65.157285 -26.808866,-65.157476 -26.808875,-65.1575 -26.808459,-65.15709 -26.808449,-65.1557818496055 -26.8086971456514,-65.1536556961785 -26.8091540767024,-65.1540841464323 -26.8109904689751)))"
